,open,high,low,close,volume
2022-12-09,169.71,172.87,168.395,169.72,1961974
2022-12-12,169.89,173.28,169.1006,173.07,2048360
2022-12-13,180.575,180.575,171.29,174.31,3081347
2022-12-14,173.23,175.36,169.0,171.57,1968677
2022-12-15,168.26,169.645,164.59,165.16,2570271
2022-12-16,164.35,165.425,161.66,163.72,3696450
2022-12-19,164.29,164.33,158.53,160.27,1418231
2022-12-20,157.99,161.22,157.055,159.51,1101408
2022-12-21,160.87,163.84,160.01,163.43,1737528
2022-12-22,159.86,161.0098,153.96,157.51,2759052
2022-12-23,156.21,157.82,154.2001,157.67,1212321
2022-12-27,155.55,155.56,153.24,153.78,1374931
2022-12-28,152.9,154.845,150.9,151.7,1433409
2022-12-29,154.84,159.6967,153.488,158.12,2016648
2022-12-30,155.53,158.18,154.07,158.03,1020995
2023-01-03,159.78,160.45,153.11,155.05,1900282
2023-01-04,158.28,160.36,156.1,157.96,1678419
2023-01-05,156.1,157.26,153.1,153.51,1692408
2023-01-06,155.85,160.17,153.89,159.63,2063253
2023-01-09,162.29,164.45,160.04,160.97,1834371
2023-01-10,163.55,166.25,161.98,166.07,2219656
2023-01-11,166.66,168.88,165.225,168.73,2019224
2023-01-12,170.09,171.87,167.385,170.21,1704966
2023-01-13,168.62,171.95,168.22,171.82,2006431
2023-01-17,170.71,170.775,167.79,170.33,1991041
2023-01-18,172.42,175.3,170.54,170.68,1565766
2023-01-19,168.8,169.26,164.86,165.0,2163258
2023-01-20,166.55,168.675,164.26,168.5,2322322
2023-01-23,169.23,175.75,168.51,173.03,3386371
2023-01-24,170.95,174.2563,169.49,173.17,1627040
2023-01-25,170.84,174.38,168.975,174.1,1328505
2023-01-26,176.62,180.2,174.73,180.02,2996396
2023-01-27,177.49,182.94,177.09,181.54,2078897
2023-01-30,179.34,182.74,178.84,179.48,3948765
2023-01-31,182.39,185.15,178.0001,184.31,4265189
2023-02-01,184.07,196.3,183.805,193.94,4468428
2023-02-02,195.47,197.71,192.83,196.16,2815928
2023-02-03,192.19,195.45,190.76,190.95,2654712
2023-02-06,187.91,190.3,186.09,187.37,2060027
2023-02-07,188.24,194.55,188.0,193.24,2270233
2023-02-08,191.16,192.1525,187.32,187.95,1935669
2023-02-09,191.19,194.06,189.02,189.85,2010608
2023-02-10,187.89,188.18,185.19,186.47,1459748
2023-02-13,186.98,189.245,185.46,188.38,1677751
2023-02-14,186.81,190.45,185.45,189.79,1864652
2023-02-15,188.17,193.55,188.17,193.29,1482392
2023-02-16,190.4,193.81,190.4,191.23,2173510
2023-02-17,190.71,191.72,186.61,188.46,2206496
2023-02-21,185.48,187.19,181.09,181.41,2073942
2023-02-22,180.9,181.99,176.73,177.69,2205976
2023-02-23,181.28,181.82,177.11,180.99,2013433
2023-02-24,177.76,178.06,175.37,176.86,1791531
2023-02-27,180.21,180.58,177.43,177.74,1165929
2023-02-28,177.56,180.72,176.545,178.48,1227698
2023-03-01,179.27,180.63,177.55,178.87,900323
2023-03-02,176.18,181.23,174.17,180.63,1171488
2023-03-03,181.38,183.18,178.785,182.96,1285904
2023-03-06,184.01,184.665,178.87,179.94,1088676
2023-03-07,180.41,180.81,176.155,177.4,1330949
2023-03-08,178.38,182.65,178.38,182.51,2072401
2023-03-09,182.91,185.31,178.67,179.83,1961599
2023-03-10,181.92,181.97,174.505,175.05,2263023
2023-03-13,173.02,177.82,171.38,174.93,2225238
2023-03-14,177.28,179.26,175.59,178.82,2104757
2023-03-15,176.34,177.17,171.55,174.6,2497535
2023-03-16,173.11,180.16,172.16,179.49,1886828
2023-03-17,179.54,180.2,176.195,177.29,2933577
2023-03-20,177.56,181.14,176.57,180.55,1127833
2023-03-21,182.24,183.82,178.0,180.46,1531813
2023-03-22,180.14,183.26,176.48,176.62,1858231
2023-03-23,178.64,184.495,178.09,182.04,2225322
2023-03-24,181.45,181.8,174.7,176.55,2280888
2023-03-27,176.92,178.89,173.47,174.2,2162862
2023-03-28,173.93,173.93,169.9075,173.21,2318017
2023-03-29,176.9,179.71,174.61,179.0,2398661
2023-03-30,181.4,184.14,180.59,181.62,2075885
2023-03-31,180.71,186.82,180.36,186.475,2081239
2023-04-03,185.53,186.0,180.34,181.98,1623854
2023-04-04,182.5,182.5128,175.715,176.12,1644420
2023-04-05,174.41,174.99,171.33,173.02,2191085
2023-04-06,172.1,172.77,169.98,170.1,1930707
2023-04-10,168.82,172.52,168.05,172.41,1746474
2023-04-11,174.42,175.0,171.65,171.88,1589043
2023-04-12,173.31,174.325,169.78,170.22,1726789
2023-04-13,170.37,173.11,169.51,171.92,1648251
2023-04-14,172.14,174.77,170.5,172.35,1492367
2023-04-17,170.85,174.73,170.85,174.51,1215097
2023-04-18,176.42,177.48,174.55,175.78,1369327
2023-04-19,173.52,174.58,172.45,172.79,1196078
2023-04-20,166.45,172.41,163.24,169.62,2490790
2023-04-21,169.0,170.13,165.54,169.82,1827519
2023-04-24,169.82,170.74,168.46,169.89,1066492
2023-04-25,168.78,168.78,162.31,164.5,2611727
2023-04-26,165.04,167.04,163.46,165.35,1923763
2023-04-27,160.0,161.86,155.31,161.19,4130673
2023-04-28,161.0,163.82,159.525,163.74,2969641
2023-05-01,164.23,166.45,163.73,166.01,4321949
2023-05-02,173.34,176.88,168.76,171.51,5403173
2023-05-03,172.25,172.52,166.9421,167.56,2363365
2023-05-04,166.98,167.345,162.75,163.79,2363647
2023-05-05,164.74,167.44,162.3,166.82,2405284
2023-05-08,166.93,168.345,165.47,168.05,1306531
2023-05-09,165.4,165.83,163.27,165.09,1963040
2023-05-10,167.55,168.2041,164.73,165.2,1490352
2023-05-11,163.9,166.16,161.23,163.35,1471000
2023-05-12,164.33,165.25,162.38,164.55,1020622
2023-05-15,164.55,168.17,164.04,167.93,1448256
2023-05-16,167.21,168.64,165.78,165.89,1279079
2023-05-17,167.8,171.73,167.44,171.25,2081165
2023-05-18,172.88,175.865,172.14,175.64,2910636
2023-05-19,176.71,177.0,174.1194,174.96,1987957
2023-05-22,174.2,178.07,173.54,177.37,1485441
2023-05-23,176.32,177.37,174.2423,175.06,1832889
2023-05-24,171.31,171.67,165.39,166.52,3235192
2023-05-25,165.01,171.88,163.26,171.34,2833329
2023-05-26,173.96,182.58,173.36,181.18,3605823
2023-05-30,185.0,186.58,180.44,182.07,2217362
2023-05-31,180.69,182.07,177.8865,179.1,5286119
2023-06-01,180.18,182.96,176.86,181.0,2388915
2023-06-02,183.24,183.99,178.673,181.6,1547493
2023-06-05,181.83,181.99,175.31,176.56,1894656
2023-06-06,175.46,181.865,174.66,181.26,1688084
2023-06-07,182.5,189.915,182.19,186.45,2225684
2023-06-08,187.24,188.815,186.23,187.46,1622027
2023-06-09,189.1,190.18,184.265,185.0,2013015
2023-06-12,187.0,189.715,185.12,189.35,2831538
2023-06-13,190.2,197.805,190.01,196.44,3564400
2023-06-14,195.94,199.55,194.1,195.69,3289576
2023-06-15,192.92,197.06,192.43,195.75,2454713
2023-06-16,198.2,199.18,195.491,197.85,4520127
2023-06-20,195.31,197.905,193.27,195.4,2022098
2023-06-21,194.24,195.82,192.74,193.28,2077165
2023-06-22,191.4,195.58,190.51,194.65,1473379
2023-06-23,190.5,191.93,188.5,188.69,1886482
2023-06-26,189.99,195.26,189.53,192.2,1438650
2023-06-27,192.0,200.5,190.76,200.32,2192475
2023-06-28,196.9,199.82,196.4,197.56,1511619
2023-06-29,197.54,200.485,195.125,199.76,1613341
2023-06-30,202.9,205.98,200.95,204.68,2521509
2023-07-03,205.54,208.63,203.6,207.13,1089166
2023-07-05,205.0,206.69,202.6,203.67,2368434
2023-07-06,200.48,204.64,200.03,204.37,2721574
2023-07-07,203.53,207.66,203.53,204.06,1847778
2023-07-10,206.15,211.07,205.86,210.42,3146361
2023-07-11,210.8,211.49,207.87,210.95,1588383
2023-07-12,214.25,214.795,210.6,211.86,2568103
2023-07-13,212.52,216.83,212.39,216.52,2061310
2023-07-14,215.7,216.68,211.36,212.54,1971232
2023-07-17,212.54,221.25,211.955,219.62,2475412
2023-07-18,218.86,224.4,218.38,223.66,2130781
2023-07-19,223.07,224.32,220.19,220.28,2207591
2023-07-20,216.78,218.605,210.4,211.95,3362010
2023-07-21,214.15,216.33,213.16,213.3,5324210
2023-07-24,212.97,214.56,210.12,210.88,5006577
2023-07-25,219.0,222.16,216.48,219.89,3839163
2023-07-26,217.98,220.5696,215.7,218.48,2204171
2023-07-27,223.23,225.57,219.12,221.79,3403462
2023-07-28,225.31,225.4422,220.63,223.31,1994430
2023-07-31,223.4,225.2,222.06,222.98,1495257
2023-08-01,221.41,224.32,221.0,223.48,1308968
2023-08-02,220.08,220.35,215.94,216.4,3373040
2023-08-03,213.03,217.74,211.7801,215.95,2491787
2023-08-04,210.39,215.64,209.415,213.7,2888608
2023-08-07,216.0,218.92,214.01,218.73,1524237
2023-08-08,215.0,217.5,213.26,216.89,1862403
2023-08-09,217.38,218.68,214.13,214.37,2069373
2023-08-10,217.7,218.61,210.97,211.98,1750622
2023-08-11,209.22,209.22,202.91,204.2,2703852
2023-08-14,203.1,207.35,202.56,207.25,1757295
2023-08-15,205.07,205.48,200.8542,201.74,1944014
2023-08-16,202.42,202.96,195.79,196.74,2400515
2023-08-17,197.81,198.25,193.61,194.53,1970158
2023-08-18,192.55,197.79,192.4,196.57,1989335
2023-08-21,196.57,202.545,196.57,201.62,1946296
2023-08-22,203.75,204.29,198.56,199.66,1428475
2023-08-23,193.5,202.28,193.5,201.1,2256825
2023-08-24,203.27,203.29,193.23,193.82,2888125
2023-08-25,194.81,196.89,193.09,196.2,2358954
2023-08-28,197.51,200.81,197.51,199.23,1456638
2023-08-29,197.25,205.96,197.25,205.16,1683639
2023-08-30,204.95,206.29,202.37,205.88,1962387
2023-08-31,205.27,207.8,203.3949,205.72,3461044
2023-09-01,207.42,210.16,205.32,209.96,1583547
2023-09-05,208.87,210.57,207.33,207.57,1443607
2023-09-06,207.14,209.94,205.48,207.79,1582922
2023-09-07,203.79,205.27,202.1101,204.01,1847186
2023-09-08,204.01,205.5,201.91,203.05,1220364
2023-09-11,204.86,205.1,200.74,203.5,1101818
2023-09-12,200.83,204.21,199.32,199.5,1301745
2023-09-13,199.15,204.265,199.15,200.4,1897679
2023-09-14,202.54,203.42,198.915,202.69,1293857
2023-09-15,201.83,202.39,196.335,197.38,4382017
2023-09-18,196.86,199.79,196.52,199.29,1483846
2023-09-19,198.71,199.58,196.37,199.14,1307834
2023-09-20,200.39,201.445,194.74,194.96,1131838
2023-09-21,193.54,196.21,193.04,194.0,1711903
2023-09-22,195.54,198.9646,194.51,196.79,1523179
2023-09-25,195.57,198.27,194.7,198.12,1045406
2023-09-26,197.0,197.53,194.055,194.99,1538595
2023-09-27,197.03,198.27,194.125,196.7,1156145
2023-09-28,197.09,202.745,196.12,200.53,1198237
2023-09-29,202.77,203.4,198.755,199.92,1170721
2023-10-02,200.78,202.45,197.52,200.19,1227713
2023-10-03,197.9,201.4808,194.09,195.2,2468256
2023-10-04,195.77,198.85,194.58,198.19,1610184
2023-10-05,198.39,199.1,192.85,195.45,1415829
2023-10-06,194.2,200.79,192.14,199.02,1837361
2023-10-09,196.77,198.9,194.5,198.12,860095
2023-10-10,198.86,204.0,198.215,201.75,1216716
2023-10-11,201.84,204.9,201.6,203.46,1646196
2023-10-12,204.34,206.14,200.5,202.36,2120807
2023-10-13,202.37,202.51,193.22,194.5,2439465
2023-10-16,195.77,200.25,195.01,199.78,1963847
2023-10-17,197.32,200.24,194.46,197.72,1274914
2023-10-18,194.5,195.6175,190.6,193.2,1908886
2023-10-19,193.81,194.05,187.1,187.93,3027852
2023-10-20,187.62,188.53,184.3961,185.76,2155052
2023-10-23,183.91,186.07,181.17,182.35,1700656
2023-10-24,182.92,184.43,180.88,183.61,2337504
2023-10-25,180.72,181.4,175.21,175.94,2923590
2023-10-26,178.49,185.29,177.4,179.56,3048756
2023-10-27,181.01,181.96,177.55,179.13,1448062
2023-10-30,172.4,173.0,167.2102,170.18,4475363
2023-10-31,170.79,172.86,167.9301,172.43,2588851
2023-11-01,171.57,172.68,167.5,172.52,2889283
2023-11-02,175.0,178.36,173.31,177.59,2472725
2023-11-03,179.83,183.75,178.93,181.55,3689986
2023-11-06,182.5,184.42,180.44,182.8,4400033
2023-11-07,178.25,191.49,178.19,185.8,4285091
2023-11-08,180.5,184.66,180.11,183.35,2521926
2023-11-09,184.41,184.55,179.64,180.33,2662338
2023-11-10,183.26,187.84,180.73,186.67,3055946
2023-11-13,185.0,185.375,181.96,184.84,1845381
2023-11-14,191.02,195.8,190.17,194.89,2876854
2023-11-15,196.43,202.65,196.43,200.75,2807521
2023-11-16,200.38,203.07,199.61,200.8,2333254
2023-11-17,200.93,202.2,199.0,200.94,1659068
2023-11-20,201.0,204.78,200.79,203.34,2086559
2023-11-21,202.0,202.43,198.5,200.44,2313052
2023-11-22,201.88,204.98,199.27,199.58,1501089
2023-11-24,199.03,200.775,198.48,200.12,834982
2023-11-27,199.05,201.025,198.0,199.66,1023244
2023-11-28,200.0,201.88,198.36,200.03,1263660
2023-11-29,203.74,207.8,202.25,204.33,2149190
2023-11-30,205.18,205.52,201.76,204.08,2269543
2023-12-01,204.0,206.54,202.43,205.68,1363075
2023-12-04,204.06,206.49,203.41,206.28,1638549
2023-12-05,204.57,206.35,202.68,205.83,1937141
2023-12-06,208.54,210.3399,205.38,205.92,2052015
2023-12-07,207.8,213.15,206.817,211.7,2487904
2023-12-08,211.43,217.225,210.8,215.55,2609802
2023-12-11,216.43,221.9,215.96,220.55,2936978
2023-12-12,219.61,221.71,218.76,219.13,1847328
2023-12-13,219.31,223.06,217.53,221.33,2001640
2023-12-14,223.81,233.245,223.0,232.68,3894400
2023-12-15,235.17,238.27,232.8,232.93,3936705
2023-12-18,233.2,233.86,227.27,229.33,2531881
2023-12-19,230.41,231.28,228.615,229.38,1722081
2023-12-20,228.56,229.95,222.68,222.9,2483935
2023-12-21,226.97,229.869,226.52,229.25,1905565
2023-12-22,230.9,232.15,227.77,228.95,1033647
2023-12-26,230.0,233.28,229.37,231.95,1159961
2023-12-27,232.84,233.9,230.645,232.1,919115
2023-12-28,233.17,233.365,230.64,231.07,946434
2023-12-29,231.07,231.9599,227.73,229.68,1105152
2024-01-02,227.26,227.26,218.57,221.18,2668473
2024-01-03,217.58,218.25,214.08,216.08,1924012
2024-01-04,204.305,210.54,204.12,207.76,3880677
2024-01-05,207.99,208.96,204.66,205.72,2165185
2024-01-08,207.3,213.03,207.255,212.17,1923573
2024-01-09,208.13,213.07,207.72,211.71,2023270
2024-01-10,211.86,212.51,207.18,211.29,1759449
2024-01-11,210.99,212.49,207.31,211.49,2138929
2024-01-12,211.3,212.205,207.57,209.11,1247691
2024-01-16,210.69,211.72,206.31,208.99,1749728
2024-01-17,205.93,206.0,201.58,205.48,2146697
2024-01-18,210.71,212.675,208.96,211.61,3148691
2024-01-19,213.34,219.45,212.46,218.36,2750105
2024-01-22,219.63,223.0,217.3467,218.84,2445287
2024-01-23,220.35,224.87,219.45,223.93,2485113
2024-01-24,222.73,224.87,219.6501,221.69,2470703
2024-01-25,222.99,223.89,217.83,219.41,2552668
2024-01-26,218.12,218.95,214.36,215.12,2424543
2024-01-29,216.93,217.57,213.29,217.47,1828064
2024-01-30,215.55,217.25,214.23,215.17,1708229
2024-01-31,212.88,215.32,209.75,210.57,3150816
2024-02-01,211.69,214.04,209.44,213.01,1968641
2024-02-02,210.16,215.56,209.86,214.99,2136288
2024-02-05,218.36,223.42,218.0,221.02,4119437
2024-02-06,220.98,225.42,218.84,223.0,3949333
2024-02-07,225.0,225.0,218.61,221.37,2788986
2024-02-08,221.44,228.85,221.44,227.83,2815415
2024-02-09,229.87,233.66,228.325,233.55,2621521
2024-02-12,234.0,241.26,233.1,236.68,2787798
2024-02-13,230.1,234.23,228.1,232.07,2723745
2024-02-14,233.96,235.46,232.43,233.96,1824982
2024-02-15,235.42,238.13,234.03,234.49,2078353
2024-02-16,234.5,236.69,231.3,232.16,1476242
2024-02-20,230.0,232.2,227.31,231.35,2140523
2024-02-21,230.02,235.35,229.665,235.32,1641086
2024-02-22,241.47,242.4,237.11,239.5,3173421
2024-02-23,240.82,241.325,237.5,238.85,1817815
2024-02-26,240.36,245.0,240.15,243.79,1595984
2024-02-27,245.88,252.83,245.0,245.73,2438279
2024-02-28,243.11,245.865,242.0,243.98,1489157
2024-02-29,247.94,250.3,245.66,249.73,3374693
2024-03-01,251.88,259.08,250.29,257.51,2444768
2024-03-04,259.49,259.49,253.73,254.3,2667655
2024-03-05,251.71,254.28,246.79,248.46,2319781
2024-03-06,252.07,255.355,250.335,251.25,2527872
2024-03-07,253.72,264.26,253.17,259.04,2942300
2024-03-08,259.92,262.91,251.79,252.03,2481950
2024-03-11,250.63,254.31,249.72,253.29,2018442
2024-03-12,256.19,257.99,251.73,257.46,2102569
2024-03-13,253.69,254.35,250.155,250.98,2283410
2024-03-14,250.35,251.345,241.32,243.73,3517528
2024-03-15,234.49,239.31,233.0,237.54,5827326
2024-03-18,240.17,241.99,236.31,236.62,2236909
2024-03-19,234.91,238.145,233.54,236.38,2172363
2024-03-20,235.58,241.7399,234.55,241.27,2102466
2024-03-21,246.65,249.975,244.56,246.11,2926572
2024-03-22,244.35,247.18,243.315,244.33,2236543
2024-03-25,240.9,242.52,238.61,240.34,1703458
2024-03-26,242.19,243.33,238.79,239.06,1443134
2024-03-27,242.25,246.14,240.48,245.44,1631219
2024-03-28,245.89,248.31,245.0,247.77,1731419
2024-04-01,248.38,251.87,244.84,246.28,1342643
2024-04-02,243.82,243.82,239.6,240.77,1532374
2024-04-03,239.09,244.31,238.0,243.88,1021089
2024-04-04,247.23,248.09,237.97,239.17,2209817
2024-04-05,240.25,241.52,238.85,241.01,1574452
2024-04-08,242.15,246.21,241.92,244.92,1182084
