Date,open,high,low,close,volume,C-O,BuySignal
25-10-21,200.66,202.13,199.775,200.29,1390539,-0.37,0
26-10-21,201.08,201.1625,193.77,196.15,2706811,-4.93,0
27-10-21,193.72,195.18,190.84,192.41,2882646,-1.31,1
28-10-21,194.34,200.13,194.14,199.9,1931000,5.56,1
29-10-21,197.74,201.81,197.215,200.86,1604843,3.12,0
01-11-21,202.62,206.58,202.01,205.13,3269917,2.51,1
02-11-21,205.52,208.47,203.18,206.56,2979474,1.04,1
03-11-21,207.49,217.13,206.72,215.78,3378886,8.29,1
04-11-21,215.99,219.43,215,219.26,2326381,3.27,1
05-11-21,220,224.79,219.945,224.25,2835945,4.25,0
08-11-21,223.6629,227.5,221.26,223.08,3829726,-0.5829,0
09-11-21,223.24,223.38,218.34,221.05,1621606,-2.19,0
10-11-21,218.46,220.185,212.77,214.22,2262187,-4.24,1
11-11-21,223.26,223.34,214.15,219.1,4639660,-4.16,0
12-11-21,219.58,220.54,214.41,217.82,2827405,-1.76,0
15-11-21,221,221,215.19,215.68,2003327,-5.32,1
16-11-21,215.2,219.97,214.4,219.26,1497233,4.06,0
17-11-21,219.26,219.26,215.67,217.81,1376544,-1.45,1
18-11-21,218.76,220.67,216.36,220.58,2495127,1.82,1
19-11-21,220.58,221.81,219.64,221.26,2124255,0.68,0
22-11-21,222.31,225.6615,219.44,221.87,2846054,-0.44,0
23-11-21,221.41,224.09,215.57,219.12,2070018,-2.29,1
24-11-21,216.6,221.22,214.32,221.03,1631247,4.43,0
26-11-21,213.12,217.56,210.25,212.45,1776506,-0.67,0
29-11-21,216.75,224.26,215.1,223.94,2412931,7.19,0
30-11-21,222.7,227.815,218.3,223.36,5141720,0.66,0
01-12-21,227.34,234.6799,222.71,223,3223503,-4.34,0
02-12-21,220.27,225.9,218.18,222.73,1934818,2.46,1
03-12-21,225,228.455,221.56,227.12,2743793,2.12,0
06-12-21,227.8,228.309,217.43,224.28,2223768,-3.52,1
07-12-21,228.99,239.91,228,238.9,2934410,9.91,0
08-12-21,229.01,229.8,221.09,228.09,3880058,-0.92,0
09-12-21,225.35,228.56,224.75,225.16,1990848,-0.19,1
10-12-21,228.56,228.88,223.03,226.46,1751518,-2.1,0
13-12-21,228.3776,228.3776,220.06,221.79,1966590,-6.5876,0
14-12-21,218.91,221.63,216.75,219.99,1687336,1.08,1
15-12-21,221.34,229.62,218.775,229.38,2565658,8.04,0
